nohup: ignoring input
 * Serving Flask app 'master.py' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.21:5000/ (Press CTRL+C to quit)
192.168.1.22 - - [15/Nov/2021 18:57:00] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:01] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:02] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:03] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:04] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:05] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:06] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:07] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:08] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:09] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:10] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:11] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:12] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:13] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:14] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:15] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:16] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:17] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:18] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:19] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:20] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:21] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:22] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:25] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:26] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:27] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:28] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:29] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:30] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:31] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:32] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:33] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:34] "GET /position_relative_json HTTP/1.1" 200 -
